,1H4,1H6,2H4,2H6,3H6,Ado,Ant,AWW,AYL,Cor,Cym,Err,H5,H8,Ham,JC,Jn,LLL,Lr,Luc,Mac,MM,MND,MV,Oth,Per,PhT,R2,R3,Rom,Shr,Son,TGV,Tim,Tit,Tmp,TN,TNK,Tro,Ven,Wiv,WT
easily,1,0,1,2,0,2,1,1,1,1,2,0,0,0,1,1,1,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
everyone,0,2,1,1,0,3,0,0,1,1,0,2,2,0,1,1,0,2,1,1,1,0,1,1,1,2,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1
extremity,0,0,0,0,0,0,0,0,2,1,1,3,0,1,2,0,0,0,2,2,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,2,0,2,2
fifth,0,8,4,6,3,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
forswear,1,0,3,0,1,0,0,1,3,0,0,1,0,0,0,0,0,3,0,0,0,2,1,0,1,0,0,1,0,1,3,0,2,1,1,0,2,0,0,0,0,2
gar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
happily,1,0,0,1,0,0,1,1,0,1,0,0,0,3,1,0,2,0,0,0,1,1,0,1,1,1,0,1,0,2,7,0,1,0,2,0,0,0,0,0,0,1
herein,3,0,1,2,1,0,0,0,2,0,1,2,0,0,4,0,0,1,0,0,1,1,1,3,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
injury,1,0,0,0,0,0,0,0,1,3,2,2,2,0,0,0,2,0,0,0,0,0,3,0,3,1,0,0,2,0,1,3,0,0,0,0,2,0,1,0,0,1
joys,0,0,2,3,3,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,1,0,3,0,1,5,2,0,0,0,0,1,1,0,1,2,0,0,1
justly,0,0,2,0,0,1,0,1,1,0,1,1,3,1,3,0,0,0,2,2,0,1,0,0,3,2,0,0,0,1,0,0,0,1,1,0,1,2,0,0,0,1
laughter,1,0,2,0,0,0,0,3,0,1,1,0,0,0,0,3,1,4,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,2,1,1,2,0,0,0,0,2
liberal,1,2,0,1,1,1,1,0,0,0,0,0,1,2,3,0,0,2,0,0,0,0,0,3,4,0,0,2,1,0,1,0,1,1,0,1,0,1,0,0,0,0
muse,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,16,2,0,0,1,0,0,0,0,1,0
musicians,1,0,3,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,8,0,0,2,0,0,0,1,1,1,0,0,3
ned,9,0,6,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
newly,0,0,2,1,0,1,2,0,0,1,0,0,1,1,1,0,2,2,0,1,1,2,0,0,1,0,0,0,0,2,2,0,0,2,1,0,1,1,0,0,1,2
ope,0,0,0,2,2,1,0,0,0,3,2,1,0,0,1,2,2,0,1,2,1,0,0,2,1,1,0,0,0,2,0,0,0,1,2,1,0,0,0,1,0,0
peevish,1,3,0,0,1,0,0,1,1,0,1,2,1,0,1,1,1,0,0,0,0,0,0,1,2,2,0,0,4,1,1,0,2,0,0,0,1,0,1,0,1,0
preserve,0,0,2,3,0,0,2,1,0,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,5,0,1,1,0,0,1,0,1,1,2,0,2,0,0,0,1
promises,2,1,1,1,0,0,3,3,1,0,1,0,1,5,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0
quench,0,0,0,0,3,1,0,0,0,2,1,1,0,3,0,0,2,0,0,3,0,0,0,0,2,2,0,0,0,2,1,0,2,0,1,0,0,0,0,2,0,3
rail,0,0,0,0,1,0,2,0,3,0,1,1,0,1,0,0,2,0,1,2,0,0,1,1,1,0,0,1,1,0,4,0,0,3,1,0,1,0,3,0,0,0
remembered,1,0,4,0,0,2,0,0,2,1,0,0,2,0,1,0,0,1,1,1,0,2,0,1,0,1,0,0,1,1,1,3,0,1,1,0,0,0,1,0,0,1
remorse,1,1,0,2,2,1,0,0,1,0,0,0,0,0,1,1,3,0,1,1,1,2,0,1,2,0,0,0,3,0,0,0,0,1,0,1,1,0,1,1,1,0
roar,1,1,3,0,0,0,0,0,0,1,1,0,0,1,2,0,1,1,0,0,1,0,8,0,1,1,0,0,1,0,1,0,0,0,0,4,0,1,0,0,0,0
sat,0,0,1,2,1,0,2,2,3,2,0,0,1,1,2,1,0,1,1,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0
shade,1,1,0,2,3,0,0,0,2,1,1,0,1,1,0,0,0,3,0,2,1,0,2,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,1,1,0,0
shoot,0,3,1,1,2,2,0,1,0,0,0,0,0,0,1,0,3,6,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0
sisters,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,8,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
spleen,3,1,0,0,1,0,0,0,1,1,0,0,0,3,0,1,3,2,1,0,0,0,1,0,1,0,0,0,2,1,2,0,0,1,0,0,1,0,2,0,0,0
tend,0,1,0,2,1,1,2,1,0,1,0,0,0,0,4,0,1,1,1,0,1,0,1,0,0,0,0,2,2,0,0,3,0,0,1,1,0,0,3,1,0,0
troop,0,1,1,1,2,0,0,3,0,2,0,1,0,4,0,0,2,0,2,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,2,0,0,1,1,0,2,0
ugly,1,2,1,0,0,0,1,0,1,0,1,0,1,1,1,0,3,0,1,3,0,0,1,1,1,0,0,0,4,0,0,1,0,2,0,0,0,0,1,2,0,0
unkind,1,1,0,2,0,0,0,0,1,0,0,2,0,0,1,0,1,0,2,0,0,0,1,1,1,0,0,0,0,1,1,3,1,1,2,0,2,1,1,3,0,0
washed,1,0,2,0,2,2,0,0,0,1,1,0,3,0,0,0,0,2,1,1,0,1,1,0,0,2,0,0,2,3,1,0,1,0,1,0,0,1,0,0,1,0
wax,0,1,2,1,2,0,0,1,0,0,1,0,3,0,2,1,1,2,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,4,2,0,1,0,0,2,0,0
weapon,0,3,2,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0,0,1,1,2,1,0,0,0,4,1,0,1,0,0,2,0
whate,1,1,0,1,3,0,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,3,2,1,0,2,0,0,3,1,1,0,0
wore,0,0,1,0,0,0,2,2,2,4,5,0,0,1,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,0,1
apollo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,2,4,1,0,13
arrest,0,0,3,5,0,0,0,0,0,0,0,6,4,1,1,0,0,1,1,1,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1
banishèd,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,3,0,2,0,0,0,0,0,0,0
begged,0,1,0,0,0,0,2,0,0,3,1,3,0,0,0,1,0,0,1,0,0,0,1,5,1,0,0,2,1,0,0,0,0,0,2,0,2,3,0,1,0,0
borrow,0,0,2,0,0,0,1,1,1,0,1,2,0,0,0,0,1,1,1,2,0,1,0,2,1,0,0,1,0,1,1,0,0,6,0,0,0,0,0,3,0,1
box,1,0,1,2,0,0,0,1,0,0,5,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,5
breaking,2,1,1,0,1,0,2,3,2,2,0,3,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1
censure,0,2,0,2,0,0,0,0,2,3,2,0,0,2,4,1,0,0,2,0,0,3,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
coin,4,0,0,1,0,0,1,0,0,1,0,0,0,2,0,1,1,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,1,0,4,0,0,0,0,1
compare,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,3,0,0,2,0,2,1,3,1,6,0,1,0,0,2,0,1,1,0,0
confirm,0,4,0,0,2,1,0,0,0,1,3,0,0,3,1,0,2,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,2,1,0,0,1,2,1,0,0,0
corse,2,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,8,7,0,0,0,1,0,0,0,0,1,0,0,2
creep,1,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,3,3,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2,1,5,1
decay,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,1,2,0,2,4,0,0,0,1,0,0,0,1,1,0,0,9,0,1,0,0,0,1,0,0,1,0
delicate,0,0,0,0,0,2,2,1,0,0,2,0,1,0,2,0,0,0,3,0,1,0,0,0,6,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2
dote,0,0,0,0,0,3,0,1,0,1,0,3,0,1,0,0,0,2,1,1,0,0,5,1,1,0,0,0,0,0,0,2,3,0,1,1,1,0,0,1,1,0
effects,0,0,1,0,0,2,1,2,0,0,3,0,1,1,2,0,0,0,6,3,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
employed,2,2,0,2,1,0,1,0,2,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,1,1,3,0,0,0,2,0,0,2
forfeit,0,0,0,0,1,0,0,2,0,0,1,0,0,1,1,0,0,2,0,0,0,5,0,11,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0
fourteen,4,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,6,1,0,0,0,0,0,1,1,0,0,0,1
grievous,2,1,1,2,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,0,1,0,1,1,0,0,3,8,0,0,0,1,0,0,0,0,1,0,0,0,0
hey,0,0,0,0,0,2,0,0,12,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,1,0,0,0
hue,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,3,2,0,0,0,0,0,0,1,5,0,0,8,0,0,1,0,2,2,0
ink,0,1,1,0,0,1,2,0,0,0,2,1,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,3,1,0,2,2,0,1,0,6,0,1,0,0,0
intelligence,2,0,0,0,0,1,0,3,1,1,2,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,1,0,3,2
killing,1,0,0,1,0,1,0,0,0,2,1,1,4,2,1,1,0,0,0,2,1,0,1,0,3,0,0,0,2,1,0,0,0,1,2,0,0,1,0,0,0,0
knot,1,1,0,0,1,0,2,2,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,1,1,2,1,1,1,0,3,0
knowest,5,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,1,0,1,1,5,0,0,0,0,1,0,0,1,1,0,0,0
leap,1,2,0,3,0,0,2,0,0,0,0,0,1,1,0,2,1,2,1,1,0,0,0,1,0,1,0,1,0,2,0,2,0,0,0,0,1,1,0,1,1,1
level,1,0,4,1,1,1,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,2,0,0,1,1,0,2,0,1,0,2,1,0,0,0,0,2
lower,2,0,1,0,0,0,2,2,0,0,0,0,3,2,0,0,0,2,0,0,0,1,2,1,0,1,0,2,1,0,0,0,0,0,0,3,0,1,0,1,0,1
palm,0,0,1,0,0,0,2,0,2,1,0,1,0,1,2,3,3,1,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,4,2,0,1
pays,1,0,0,0,0,0,3,3,0,1,3,0,1,0,1,0,0,0,0,2,1,1,1,1,0,0,0,1,1,0,0,2,0,2,0,1,2,0,0,1,0,0
perjured,0,0,0,0,3,0,0,0,0,0,1,2,1,1,0,0,3,7,1,1,0,0,1,0,1,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0
player,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
pronounce,0,0,1,1,0,0,0,0,1,2,4,0,0,4,1,0,1,2,0,0,4,1,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,2
recompense,0,2,0,0,0,1,0,1,2,1,1,0,0,0,0,0,1,1,0,0,1,2,1,0,0,1,0,2,0,0,0,1,0,3,0,0,4,2,1,0,1,1
redeem,5,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,4,0,1,0,0,0,1,1,1,0,1,0,1,1,0,2,0,0,0,0,0
satisfy,0,0,1,1,2,1,2,1,2,0,2,0,1,0,0,1,1,1,0,1,1,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,4
scope,1,0,1,1,0,0,0,1,0,0,0,0,0,0,3,1,2,0,1,0,0,5,0,0,0,0,0,3,2,1,0,5,0,2,0,0,0,0,0,0,0,0
sole,0,0,0,1,1,1,1,1,0,1,3,1,2,0,1,0,1,3,0,0,1,0,0,2,0,1,1,0,1,2,0,1,1,0,0,1,0,1,1,0,0,0
strangely,1,0,1,0,0,2,0,0,0,0,2,0,0,5,2,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,1,2,0,0,1
sung,2,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,1,7,0,0,0,2
supply,1,2,1,0,3,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,3,0,2,1,0,0,1,0,0,2,0,0,6,0,0,0,1,0,0,0,0
tempt,0,1,0,0,0,0,1,0,0,0,0,3,0,0,3,4,2,1,1,0,0,1,1,0,1,0,0,0,3,1,0,0,0,0,0,0,2,0,3,0,0,2
threw,0,0,4,1,0,0,0,2,2,2,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,3,0,1,0,0,1,1,1,0,1,0,1,0,0,1,2,1
titles,2,2,0,0,0,0,0,0,0,0,2,0,4,1,0,0,2,1,1,1,1,1,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,3,1,0,0,1
trifle,3,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,3,0,1,0,0,3,2,0,0,0,0,0,0,1,1,1,0,2,0,2,0,0,1,1
turning,0,0,3,0,0,2,0,0,2,0,0,1,4,0,0,1,2,2,0,0,1,0,0,4,1,1,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0
twould,0,0,0,0,0,0,2,3,0,3,1,1,1,2,1,0,0,0,2,0,1,1,0,0,1,2,0,0,0,1,0,0,0,1,0,1,0,2,3,0,0,1
value,0,1,0,0,0,1,0,0,1,2,3,0,0,1,0,1,0,1,1,0,0,1,0,7,0,2,0,1,0,0,0,0,0,2,0,0,0,2,2,0,1,0
wooing,0,0,0,0,0,2,0,1,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,2,1,0,2,0,0,6,2,0,0,0,0,0,0,1,1,3,1
writes,2,2,1,1,0,0,0,2,3,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,4,0,0,0,1,0,3,0
yellow,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,1,0,2,1,2,0,1,10,2,0,0,1,1
adventure,4,1,0,1,1,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,1,0,2,0,0,0,4
afternoon,1,1,1,0,0,0,0,1,0,2,0,1,0,0,1,0,1,5,0,0,1,3,0,2,0,0,0,0,1,3,2,0,0,0,0,1,0,1,0,0,0,0
allegiance,1,5,0,2,2,4,1,0,0,0,0,0,1,2,1,0,2,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2
aloud,0,1,0,2,0,1,1,0,0,0,2,0,2,0,0,0,1,1,1,0,1,1,0,0,2,0,0,0,2,2,0,0,0,0,1,0,1,0,3,2,2,0
answers,2,1,0,2,1,0,1,0,2,0,1,0,1,0,1,0,1,1,1,1,0,1,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0
approve,1,0,2,0,0,0,1,0,0,1,2,0,0,1,2,0,0,0,2,0,1,0,1,1,5,1,0,1,0,0,0,3,0,0,1,0,1,0,1,0,0,0
aspect,1,1,0,0,0,0,1,0,1,1,0,2,2,2,1,0,3,1,1,1,0,0,0,2,0,0,0,2,1,0,0,1,0,1,0,0,1,1,0,0,0,1
baby,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,2,0,0,9
bay,0,1,0,0,0,0,0,1,1,0,1,4,0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,3,1,0,1,1,0,1,3,0,1,1,2,1,0,0
beds,0,4,1,0,0,0,2,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,2,1,2,2,0,1,0,0,0,1,0,1,0,0,2,2,1,1,1,0
blushing,1,1,1,0,2,1,0,0,0,0,0,0,0,3,0,0,0,2,0,5,0,0,0,0,0,0,0,2,1,1,0,2,0,0,2,0,0,2,1,1,0,0
borrowed,2,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,2,1,0,0,2,0,1,0,0,0,2,0,2,0,1,0,0,1,1,0,1,2,1
bread,2,1,2,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2,1,0,1,2,0,3,0,1,0,0,0,1,0,0,0,3,0,0,2,0
breathed,1,0,1,1,2,0,1,0,1,0,0,1,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,1,2,2,0,1,0,2,1,0,1,2,0,1,0,1
bush,0,0,0,1,4,0,0,0,4,0,1,0,0,0,0,0,0,2,1,1,0,0,6,0,0,0,0,0,0,0,1,0,0,1,1,2,0,3,0,0,1,0
busy,0,0,2,3,0,3,0,0,1,0,0,0,1,1,1,1,0,0,1,2,0,0,1,0,3,0,0,0,2,1,3,1,0,0,0,0,0,0,1,1,0,0
certainly,1,1,0,0,0,2,1,0,2,1,0,0,4,1,0,0,1,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2
chastity,0,0,0,1,0,1,1,1,1,0,5,0,0,0,0,0,0,0,0,3,0,2,1,0,1,2,1,0,0,1,1,0,1,0,3,0,0,2,0,1,0,0
check,1,0,1,0,3,0,1,1,1,1,1,0,0,0,0,0,3,1,2,1,1,0,0,0,3,0,0,1,0,1,0,2,1,0,0,0,1,0,1,0,0,0
chin,1,0,3,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,2,0,1
conjure,1,1,0,1,0,1,0,0,1,1,0,3,4,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,1,1
curst,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,0,10,0,1,0,0,0,1,0,0,1,0,1
curtis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
dam,0,1,0,2,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,2,1,0,0,0,0,0,2,0,0,0,5,3,0,1,0,0,1,3
deaf,0,0,2,2,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,2,0,2,0,1,1,1,4,0,0,1,2,1,0,1
deaths,3,0,0,3,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,3,1,0,2,0,0,2,0,1,1,0,0,1,2
deceive,0,0,0,0,1,1,0,1,0,0,1,2,1,0,0,0,2,1,0,1,1,0,1,0,2,0,0,0,3,0,1,2,2,0,3,0,0,0,1,0,2,0
destruction,0,2,1,1,0,0,1,0,0,2,0,0,1,1,0,2,2,0,0,0,2,0,0,0,1,1,0,2,4,0,0,0,0,3,2,0,0,0,1,0,0,0
dian,0,0,0,0,1,1,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,1,3,1,0,1,2,0,0,1,0,1,0,0
dukedom,1,0,1,1,7,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,2,0,0,0,0
esteem,0,3,0,2,0,0,0,2,1,0,2,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0,0,1,0,1,3,2,2,0,0,0,0,0,3,0,0,1
expectation,2,0,5,0,0,2,1,1,0,0,1,0,3,0,0,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0
foreign,0,2,1,1,2,0,0,1,0,1,0,0,2,4,1,0,4,0,1,0,1,0,0,1,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
game,1,0,0,0,3,0,1,0,0,0,2,0,1,0,1,0,2,3,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,2,1,0,0,2,2,0,1,1
gobbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
govern,0,0,1,4,2,0,2,0,0,0,0,0,0,1,1,1,1,0,2,1,2,0,0,1,0,3,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,0
governor,0,6,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,3,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
guests,2,1,3,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,1,3
hounds,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,5,0,0,0,0,0,0,0,3,1,0,0,6,1,1,1,0,6,0,0
houses,2,1,0,2,1,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,1,4,0,0,0,2,0,0,1,4,1,0,0,0,0,1,1,0,0,0,0,0
human,0,2,1,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,1,1,1,3,1,1,0,0,0,0,0,0,0,0,2,0,4,0,2,1,0,0,2
hung,1,1,1,0,1,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,1,2,0,0,0,0,0,2,1,1,2,0,1,0,0,1,2,1,1,2,1
immortal,0,0,1,0,0,0,2,1,0,0,1,0,1,0,1,3,0,0,0,0,0,2,0,1,2,2,0,1,0,3,1,1,0,2,0,1,0,0,1,2,0,0
instead,1,5,1,3,2,0,0,0,2,0,1,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,1,0,0,1,0,1,0
joint,0,0,5,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,0,2,0,0,2,1,0,1,0,3,1,0,0,1,0,0,0,0,6,0,0,0
keeping,2,1,2,1,0,0,1,2,1,1,1,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,2,1,0,0,0,3,0,0,1
knocks,0,1,4,0,2,0,0,0,0,0,3,0,2,0,0,3,0,0,0,0,1,0,0,1,1,0,0,1,3,2,2,0,0,0,0,0,0,0,1,1,1,0
lads,5,0,1,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,3,3
lift,3,1,1,1,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,1,1,0,0,2,0,0,2
likes,0,0,0,0,2,0,0,2,0,0,0,0,3,0,3,1,1,0,1,1,0,0,0,1,1,0,0,0,2,0,3,0,5,0,0,0,0,1,1,0,0,1
mocked,0,0,0,0,1,0,0,0,1,3,2,0,0,1,0,1,0,2,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0,3,1,0,0,0,0,0,3,5
mothers,1,2,0,0,0,0,0,2,0,1,0,0,3,0,1,3,0,0,1,2,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,0,4,2,0,0,0
nimble,2,0,1,0,0,0,0,0,2,0,1,1,2,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,2,0,2,1,0,0,3,0,1,0,0,0,1
oak,0,0,0,0,1,1,0,0,2,4,1,0,0,0,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,9,1
offenses,2,0,1,1,0,0,0,1,1,1,1,0,2,3,1,1,0,1,1,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2
owes,1,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,2,0,1,1,1,0,6,0,1,0,0,1,0,0,1
pandulph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perfection,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,1,2,0,0,0,2,1,0,2,5,1,0,1,1,0,2,2,0,0
placed,1,4,1,2,1,2,1,0,0,1,1,0,1,2,3,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
redress,0,3,3,0,2,0,0,0,0,1,0,0,0,0,0,6,2,0,1,1,1,3,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0
repose,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,2,2,2,0,0,0,0,1,0,1,1,1,1,2,1,0,3,3,0,0,0,0,0,0
roaring,2,1,0,0,0,0,1,0,0,1,2,0,1,0,0,0,3,0,3,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,4,0,1,2,0,0,1
scot,12,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scurvy,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,4,1,2,4,0,3,0
