,1H4,1H6,2H4,2H6,3H6,Ado,Ant,AWW,AYL,Cor,Cym,Err,H5,H8,Ham,JC,Jn,LLL,Lr,Luc,Mac,MM,MND,MV,Oth,Per,PhT,R2,R3,Rom,Shr,Son,TGV,Tim,Tit,Tmp,TN,TNK,Tro,Ven,Wiv,WT
poor,16,11,20,14,20,10,14,28,22,20,24,11,22,20,20,10,9,8,48,31,16,24,9,12,19,13,0,11,33,18,9,15,11,19,17,14,10,19,13,14,11,23
brother,19,1,16,11,70,68,14,10,48,2,20,11,19,6,16,12,23,0,25,1,1,74,1,0,3,0,0,14,54,7,1,0,1,4,42,19,15,18,26,0,1,21
still,18,13,13,17,14,6,17,11,11,20,28,9,10,22,21,11,14,23,25,35,20,19,10,13,11,13,1,16,22,16,7,43,14,21,8,11,16,23,23,21,8,19
till,9,10,18,23,25,22,26,17,18,15,11,25,11,18,20,22,20,11,19,18,20,18,13,13,12,22,0,19,18,22,16,15,8,12,21,12,12,18,18,13,16,15
better,21,11,33,12,17,15,21,16,31,18,19,7,21,16,17,16,15,12,30,5,9,22,5,22,15,14,1,9,19,13,16,22,13,15,11,5,20,21,24,3,21,24
heaven,10,8,14,17,15,2,7,24,11,5,15,6,9,48,46,5,40,18,10,10,15,37,6,16,57,20,0,29,26,28,3,19,12,6,19,4,6,16,10,7,24,8
though,7,7,12,12,18,14,24,22,19,31,34,12,24,14,24,6,11,14,22,12,17,17,11,9,26,16,0,19,10,11,23,34,8,8,10,13,26,19,14,10,17,31
even,21,8,16,21,14,14,11,9,16,22,21,13,13,10,26,18,34,7,14,12,13,16,6,19,36,21,1,17,22,12,10,25,16,11,17,11,16,13,19,16,7,29
nothing,16,5,17,6,7,21,21,26,13,13,28,12,12,10,32,10,9,20,34,5,16,14,13,23,26,8,0,25,10,14,13,19,18,25,5,16,20,23,23,5,11,34
fool,5,0,7,1,2,17,8,84,38,5,11,5,5,5,7,1,2,17,116,3,3,4,3,11,12,3,0,2,5,7,12,3,9,35,2,5,180,8,29,3,5,7
noble,18,25,24,15,9,9,33,18,3,60,20,0,12,48,17,39,11,2,19,1,13,9,6,7,20,13,0,32,36,8,9,0,1,25,29,8,9,40,10,1,0,10
second,10,5,10,13,18,5,28,51,15,84,38,18,3,39,12,24,2,1,4,0,28,11,1,4,13,38,0,2,38,12,8,4,12,58,1,3,4,42,3,2,2,10
way,17,8,15,10,20,15,32,15,10,35,23,7,12,30,12,14,11,14,26,8,19,17,10,12,18,15,1,28,17,10,15,7,8,8,11,12,17,26,17,9,27,22
comes,12,5,34,11,18,17,9,19,24,10,18,14,14,12,22,17,8,17,22,3,13,20,17,22,25,15,0,17,17,28,27,2,10,18,13,5,24,15,27,4,25,11
many,23,12,22,12,36,12,17,21,24,23,24,7,23,25,19,16,13,13,13,10,10,15,6,25,16,10,1,19,18,16,8,15,9,14,14,8,8,18,26,4,11,14
hast,36,12,12,29,20,7,26,10,12,18,16,13,6,6,16,13,19,9,22,5,6,10,16,10,19,11,0,19,15,28,16,17,20,10,34,21,14,13,8,5,4,21
therefore,13,21,17,27,30,17,12,16,25,25,8,13,38,9,15,13,13,25,7,7,3,12,18,31,19,12,0,7,20,23,28,18,18,8,20,6,16,5,9,5,2,16
against,19,14,21,19,15,19,15,19,15,38,16,15,17,30,24,9,26,10,24,13,15,19,6,4,19,3,0,37,20,11,4,18,8,14,7,9,9,12,8,2,14,14
stand,22,11,25,16,30,13,12,10,4,30,22,6,12,22,16,36,19,10,21,6,11,11,11,22,15,6,0,20,13,26,14,8,9,8,13,11,8,22,28,2,11,14
call,29,11,20,20,13,16,17,7,22,19,14,14,16,11,23,6,10,13,22,3,10,18,11,12,18,13,0,16,15,23,27,10,12,16,8,8,15,10,26,3,15,24
folger,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
myself,17,12,4,27,23,16,20,14,11,12,22,11,7,10,12,20,11,8,12,6,11,15,5,19,22,10,0,26,43,15,21,29,25,15,12,11,16,6,7,5,20,13
part,22,13,24,13,10,17,21,12,19,22,20,10,13,15,27,18,16,18,16,10,8,8,18,22,12,10,1,16,14,25,13,21,7,15,7,7,12,13,19,7,5,20
grace,19,22,34,35,16,18,8,16,10,4,10,8,21,51,14,4,5,32,21,4,10,24,11,11,12,12,1,22,64,5,3,11,17,6,14,9,3,7,5,1,2,12
nay,20,5,7,21,20,24,26,20,18,28,22,17,8,14,26,6,13,16,8,0,2,16,9,12,25,6,0,10,12,20,29,2,24,10,9,3,18,9,25,3,25,16
words,7,21,13,30,35,18,11,10,13,19,18,11,15,17,24,16,16,19,12,23,14,16,8,14,13,6,4,22,11,11,16,14,17,14,14,7,13,7,20,10,9,9
dead,13,18,31,25,12,11,26,13,6,3,23,2,19,4,31,15,18,4,15,14,15,6,14,5,15,23,2,16,37,51,2,16,7,9,22,7,2,10,7,14,10,15
caesar,0,2,1,2,2,0,284,1,1,0,18,0,1,0,2,281,0,1,0,0,1,2,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0
john,42,25,121,20,9,69,0,1,0,0,0,0,8,3,1,0,150,0,0,0,0,0,0,0,0,1,0,10,4,9,1,0,0,0,0,1,0,0,0,0,80,0
gentleman,4,4,10,11,2,16,0,30,9,3,33,3,13,100,19,0,4,6,64,0,3,30,5,11,17,27,0,7,8,14,19,0,15,9,1,0,22,12,2,0,14,44
bear,12,11,24,20,23,11,22,6,24,24,5,20,12,19,15,23,18,5,18,17,12,11,11,8,16,6,0,8,21,12,12,13,10,10,14,11,8,11,16,3,12,26
head,26,8,26,41,33,8,9,6,10,9,17,6,12,14,24,5,17,12,21,9,9,24,16,14,10,8,0,23,21,14,12,6,4,6,7,9,5,15,15,8,18,7
keep,17,17,15,14,11,9,14,10,12,16,20,10,20,11,19,11,19,17,20,7,13,14,10,11,18,17,2,14,11,17,15,11,8,14,11,15,17,17,16,5,17,9
word,19,7,29,9,9,14,16,14,17,17,12,11,13,4,13,21,11,36,15,3,7,18,10,13,8,10,1,20,13,31,14,3,17,9,14,10,13,6,21,3,22,12
find,17,12,11,9,6,11,16,24,15,16,30,7,17,25,18,17,15,9,18,7,11,17,11,16,20,9,0,7,7,24,12,16,7,8,15,13,14,20,11,1,20,5
long,17,19,13,23,13,9,12,9,5,12,25,18,13,26,18,6,8,12,15,14,4,8,13,8,12,9,1,18,28,18,19,13,12,15,15,11,8,19,11,10,14,9
put,5,3,19,11,8,11,16,20,12,22,21,9,15,16,25,17,16,20,21,3,17,16,5,7,36,9,1,6,17,18,10,9,5,18,6,16,25,18,7,5,10,20
hamlet,2,2,2,2,2,2,2,2,2,2,2,2,2,2,491,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
daughter,3,12,3,8,7,34,1,20,21,5,18,0,8,8,16,1,3,4,30,7,0,4,5,23,14,47,0,0,27,16,35,0,12,3,7,19,2,91,5,0,16,35
peace,15,31,42,15,11,8,16,3,5,38,16,3,15,20,11,17,44,13,11,2,11,10,2,2,8,12,0,19,29,19,6,2,7,9,12,5,26,5,17,0,17,2
live,12,8,11,26,18,12,9,20,16,9,15,7,15,14,14,16,8,6,13,15,10,19,5,17,13,17,0,23,40,19,5,30,9,14,20,8,11,9,10,1,2,12
full,18,9,16,18,14,14,16,10,19,12,11,6,29,23,13,12,14,16,16,5,12,10,9,10,18,10,0,17,17,13,10,13,11,9,13,12,11,8,22,13,6,9
wife,9,4,13,26,8,6,14,33,8,23,7,38,5,10,8,8,6,4,7,15,16,15,3,21,40,14,0,4,29,22,33,1,2,0,3,6,4,7,7,0,45,25
face,22,7,16,16,17,14,14,8,5,11,8,14,16,8,12,14,17,27,11,23,12,14,10,7,8,13,1,26,9,23,12,20,8,4,13,4,12,15,7,21,5,7
friend,5,7,12,3,16,13,10,9,7,10,10,6,12,14,13,25,10,5,19,10,5,9,5,29,18,5,0,6,8,14,9,17,29,65,7,7,6,47,10,2,11,14
text,12,12,15,12,12,13,12,14,12,12,12,12,12,12,13,12,12,17,14,12,12,12,12,13,13,13,12,13,14,13,12,12,12,12,13,12,15,12,14,13,12,12
